latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.774,-35.884,308.8,3.1,1.7,2020-10-02,0025,T,76,6.0NRT,292.3,42.8,N
-9.775,-35.89,310,3.1,1.7,2020-10-02,0025,T,79,6.0NRT,292.3,48,N
-6.9,-37.459,314.7,3.7,1.8,2020-10-02,0025,T,90,6.0NRT,296.2,71.4,N
-6.909,-37.464,306.8,3.7,1.8,2020-10-02,0025,T,69,6.0NRT,296.1,31.2,N
-6.893,-37.467,307.5,3.7,1.8,2020-10-02,0025,T,72,6.0NRT,295.9,34.3,N
14.095,26.776,321.5,1.1,1,2020-10-02,0000,A,100,6.0NRT,297.1,19.7,N
14.093,26.786,316.8,1.1,1,2020-10-02,0000,A,94,6.0NRT,296.9,14.7,N
14.086,26.774,346.2,1.1,1,2020-10-02,0000,A,100,6.0NRT,298.7,59.5,N
14.084,26.784,336.9,1.1,1,2020-10-02,0000,A,100,6.0NRT,298.1,41.4,N
14.076,26.773,331.6,1.1,1,2020-10-02,0000,A,100,6.0NRT,297.4,33.1,N
14.075,26.783,314.7,1.1,1,2020-10-02,0000,A,90,6.0NRT,295.9,12.8,N
-12.071,26.405,313.3,2.4,1.5,2020-10-02,0010,A,87,6.0NRT,289.1,47.7,N
-12.079,26.399,308.4,2.4,1.5,2020-10-02,0010,A,74,6.0NRT,287.4,36.8,N
-10.342,13.737,302.2,2,1.4,2020-10-02,0010,A,47,6.0NRT,288.1,17.1,N
-15.506,16.556,301.3,1.1,1.1,2020-10-02,0010,A,39,6.0NRT,287.1,7.4,N
-15.775,16.974,310.8,1.1,1,2020-10-02,0010,A,81,6.0NRT,287.3,13.9,N
-15.833,17.294,305.3,1,1,2020-10-02,0010,A,64,6.0NRT,283.7,9.3,N
-15.845,17.183,302.3,1,1,2020-10-02,0010,A,48,6.0NRT,283.7,7.7,N
-15.755,16.507,306.5,1.1,1.1,2020-10-02,0010,A,68,6.0NRT,289,10.5,N
-15.955,16.482,309.6,1.1,1,2020-10-02,0010,A,78,6.0NRT,289.8,13,N
-17.219,17.937,302.7,1,1,2020-10-02,0010,A,46,6.0NRT,287.4,6.6,N
-17.228,17.935,304.7,1,1,2020-10-02,0010,A,61,6.0NRT,286.5,7.8,N
-18.284,19.271,302,1,1,2020-10-02,0010,A,46,6.0NRT,286.9,6.5,N
-18.286,19.281,303.9,1,1,2020-10-02,0010,A,58,6.0NRT,288.4,7.7,N
-18.293,19.27,349.6,1,1,2020-10-02,0010,A,100,6.0NRT,292.5,66.7,N
-18.295,19.279,312.2,1,1,2020-10-02,0010,A,84,6.0NRT,289.2,13,N
-18.211,18.304,321.1,1,1,2020-10-02,0010,A,100,6.0NRT,290.6,19.4,N
-18.219,18.293,313.3,1,1,2020-10-02,0010,A,87,6.0NRT,286.9,12.3,N
-18.22,18.302,304.2,1,1,2020-10-02,0010,A,22,6.0NRT,286.4,6.1,N
-18.882,17.859,304.4,1,1,2020-10-02,0010,A,54,6.0NRT,287.4,6.9,N
-18.929,17.806,303.1,1,1,2020-10-02,0010,A,40,6.0NRT,286.8,6.3,N
-18.937,17.795,313.1,1,1,2020-10-02,0010,A,74,6.0NRT,287,12.3,N
